id,assignmentId,startTime,endTime,boxer,punchType,hand,target,visibilityFlags,knockdown,punchQuality,cam,stance,landed,punchResult,defenseType,labeledBy,labeledByEmail,fightTitle,createdAt,updatedAt,videoTitle,assignmentStatus,assignmentLabelType,originalLabelerEmail
cmkgszgxt006pgy04jvwobgx8,cmk5howey0001l404is4k7qvr,00:46.98,00:47.34,Boxer B,Jab,Left,Head,Full Body;Forward/Profile;Trajectory;Origin,FALSE,1,CAM 1,Orthodox,FALSE,Missed,,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxs005wgy04bbpejho5,cmk5howey0001l404is4k7qvr,00:47.29,00:47.63,Boxer A,Hook,Left,Head,Full Body;Forward/Profile;Origin;Trajectory,FALSE,1,CAM 1,Orthodox,FALSE,Missed,,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxs005vgy048yrrfwjm,cmk5howey0001l404is4k7qvr,00:49.67,00:50.01,Boxer A,Jab,Left,Head,Full Body;Forward/Profile;Origin;Trajectory,FALSE,1,CAM 1,Orthodox,FALSE,Missed,,cmja0k21v0000gs04a73l70io,olly@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxs005ugy047lkpv4hp,cmk5howey0001l404is4k7qvr,00:49.91,00:50.29,Boxer A,Hook,Right,Head,Full Body;Forward/Profile;Impact,FALSE,1,CAM 1,Orthodox,FALSE,Defended,Guard,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxt006ogy04s12lkokv,cmk5howey0001l404is4k7qvr,00:50.19,00:50.41,Boxer B,Cross,Right,Head,Forward/Profile;Trajectory;Origin,FALSE,1,CAM 1,Orthodox,FALSE,Unseen,,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxs005tgy04lntpqv2l,cmk5howey0001l404is4k7qvr,00:50.31,00:50.71,Boxer A,Hook,Left,Head,Full Body;Forward/Profile;Origin;Trajectory,FALSE,1,CAM 1,Orthodox,FALSE,Missed,,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxt006ngy04gy1gq0a4,cmk5howey0001l404is4k7qvr,00:53.17,00:53.39,Boxer B,Cross,Right,Head,Full Body;Forward/Profile;Trajectory;Origin,FALSE,1,CAM 1,Orthodox,FALSE,Defended,Slip,cmja0k21v0000gs04a73l70io,olly@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxs005sgy04xmmdaevf,cmk5howey0001l404is4k7qvr,00:53.23,00:53.63,Boxer A,Hook,Left,Head,Full Body;Forward/Profile;Origin;Trajectory;Impact,FALSE,1,CAM 1,Orthodox,TRUE,Landed,,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxt006mgy04zcnrwd18,cmk5howey0001l404is4k7qvr,00:53.42,00:53.72,Boxer B,Hook,Left,Body,Full Body;Forward/Profile,FALSE,1,CAM 1,Orthodox,FALSE,Missed,,cmja0k21v0000gs04a73l70io,olly@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxs005rgy04ycph3snf,cmk5howey0001l404is4k7qvr,00:58.70,00:59.06,Boxer A,Cross,Right,Body,Full Body;Origin;Trajectory,FALSE,1,CAM 3,Orthodox,FALSE,Missed,,cmja0k21v0000gs04a73l70io,olly@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxt006lgy04l6175sv4,cmk5howey0001l404is4k7qvr,00:58.75,00:59.19,Boxer B,Hook,Left,Head,,FALSE,1,CAM 2,Orthodox,FALSE,Missed,,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxs005qgy04xouvuoqt,cmk5howey0001l404is4k7qvr,01:05.53,01:05.87,Boxer A,Jab,Left,Head,Full Body;Trajectory;Forward/Profile;Impact;Origin,FALSE,1,CAM 3,Orthodox,FALSE,Missed,,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxs005pgy04hbw91a4l,cmk5howey0001l404is4k7qvr,01:11.07,01:11.39,Boxer A,Jab,Left,Body,Forward/Profile;Origin,FALSE,1,CAM 3,Orthodox,FALSE,Unseen,,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxt006kgy04ptaiy1ov,cmk5howey0001l404is4k7qvr,01:13.96,01:14.36,Boxer B,Jab,Left,Head,Forward/Profile;Full Body;Trajectory,FALSE,1,CAM 1,Orthodox,FALSE,Missed,,cmja0k21v0000gs04a73l70io,olly@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxs005ogy04doa6737u,cmk5howey0001l404is4k7qvr,01:16.80,01:17.28,Boxer A,Overhand,Right,Head,Full Body;Trajectory;Origin;Impact,FALSE,1,CAM 3,Orthodox,TRUE,Landed,,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxt006jgy0467btsi7h,cmk5howey0001l404is4k7qvr,01:18.47,01:18.97,Boxer B,Jab,Left,Body,Forward/Profile;Full Body;Origin,FALSE,1,CAM 1,Orthodox,FALSE,Unseen,,cmja0k21v0000gs04a73l70io,olly@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxs005ngy04n3o6mno8,cmk5howey0001l404is4k7qvr,01:26.07,01:26.53,Boxer A,Jab,Left,Body,Full Body;Trajectory;Forward/Profile;Impact,FALSE,1,CAM 1,Orthodox,TRUE,Landed,,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxt006igy04gr1rn649,cmk5howey0001l404is4k7qvr,01:33.47,01:34.01,Boxer B,Hook,Left,Head,Full Body,FALSE,1,CAM 1,Orthodox,FALSE,Missed,,cmja0k21v0000gs04a73l70io,olly@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxs005mgy04fcs55qbw,cmk5howey0001l404is4k7qvr,01:33.62,01:34.00,Boxer A,Hook,Left,Head,,FALSE,1,CAM 1,Orthodox,FALSE,Unseen,,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxt006hgy04devtzakq,cmk5howey0001l404is4k7qvr,01:40.90,01:41.22,Boxer B,Jab,Left,Body,Full Body;Forward/Profile;Trajectory;Origin,FALSE,1,CAM 1,Orthodox,FALSE,Missed,,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxt006ggy04nwhjfnth,cmk5howey0001l404is4k7qvr,01:47.81,01:48.23,Boxer B,Jab,Left,Body,Full Body;Forward/Profile;Origin;Trajectory;Impact,FALSE,1,CAM 3,Orthodox,TRUE,Landed,,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxs005lgy04gcvqe3v3,cmk5howey0001l404is4k7qvr,01:50.27,01:50.65,Boxer A,Cross,Right,Body,Full Body;Forward/Profile;Origin;Trajectory,FALSE,1,CAM 1,Orthodox,FALSE,Missed,,cmja0k21v0000gs04a73l70io,olly@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxt006fgy04zsujnczk,cmk5howey0001l404is4k7qvr,01:52.28,01:52.66,Boxer B,Hook,Left,Head,Full Body;Forward/Profile;Origin;Trajectory,FALSE,1,CAM 1,Orthodox,FALSE,Missed,,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxs005kgy04lnxu97nx,cmk5howey0001l404is4k7qvr,01:52.33,01:52.73,Boxer A,Hook,Left,Head,Full Body;Forward/Profile,FALSE,1,CAM 1,Orthodox,FALSE,Missed,,cmja0k21v0000gs04a73l70io,olly@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxt006egy04xncmdihf,cmk5howey0001l404is4k7qvr,01:56.93,01:57.33,Boxer B,Hook,Left,Head,Full Body;Trajectory,FALSE,1,CAM 1,Orthodox,FALSE,Missed,,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxs005jgy041y7rxyig,cmk5howey0001l404is4k7qvr,01:57.65,01:58.11,Boxer A,Hook,Right,Body,Origin,FALSE,1,CAM 1,Orthodox,FALSE,Missed,,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxt006dgy040qw6o9a7,cmk5howey0001l404is4k7qvr,01:57.81,01:58.13,Boxer B,Cross,Right,Head,Full Body,FALSE,1,CAM 1,Orthodox,FALSE,Defended,Duck,cmja0k21v0000gs04a73l70io,olly@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxt006cgy04u7sq01x1,cmk5howey0001l404is4k7qvr,01:59.97,02:00.47,Boxer B,Hook,Right,Body,Origin;Trajectory;Impact,FALSE,1,CAM 3,Orthodox,TRUE,Landed,,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxt006bgy04cb8uybrt,cmk5howey0001l404is4k7qvr,02:04.13,02:04.51,Boxer B,Hook,Left,Head,Full Body;Origin;Trajectory;Impact,FALSE,1,CAM 1,Orthodox,FALSE,Defended,Guard,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxs005igy04zd81mx5c,cmk5howey0001l404is4k7qvr,02:04.42,02:04.72,Boxer A,Jab,Left,Head,Full Body;Forward/Profile,FALSE,1,CAM 1,Orthodox,FALSE,Missed,,cmja0k21v0000gs04a73l70io,olly@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxs005hgy04l3czb7rn,cmk5howey0001l404is4k7qvr,02:04.92,02:05.22,Boxer A,Cross,Right,Body,,FALSE,1,CAM 1,Orthodox,FALSE,Unseen,,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxt006agy048gzuevky,cmk5howey0001l404is4k7qvr,02:05.16,02:05.58,Boxer B,Cross,Right,Head,Origin,FALSE,1,CAM 3,Orthodox,TRUE,Landed,,cmja0k21v0000gs04a73l70io,olly@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxs005ggy04hzhr2npa,cmk5howey0001l404is4k7qvr,02:05.25,02:05.65,Boxer A,Hook,Left,Head,Forward/Profile;Trajectory;Origin,FALSE,1,CAM 3,Orthodox,FALSE,Missed,,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxs005fgy04il5sfxds,cmk5howey0001l404is4k7qvr,02:15.63,02:16.01,Boxer A,Jab,Left,Body,Full Body;Forward/Profile;Origin;Trajectory;Impact,FALSE,1,CAM 1,Orthodox,TRUE,Landed,,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxt0069gy043yv4qzzl,cmk5howey0001l404is4k7qvr,02:15.92,02:16.24,Boxer B,Cross,Right,Head,Full Body;Forward/Profile;Origin;Trajectory,FALSE,1,CAM 1,Orthodox,FALSE,Missed,,cmja0k21v0000gs04a73l70io,olly@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxt0068gy04e4jsnw8v,cmk5howey0001l404is4k7qvr,02:18.19,02:18.63,Boxer B,Jab,Left,Head,Full Body;Forward/Profile;Origin;Trajectory,FALSE,1,CAM 3,Orthodox,FALSE,Missed,,cmja0k21v0000gs04a73l70io,olly@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxs005egy0440z6d9ua,cmk5howey0001l404is4k7qvr,02:23.07,02:23.43,Boxer A,Jab,Left,Body,Full Body,FALSE,1,CAM 1,Orthodox,TRUE,Landed,,cmja0k21v0000gs04a73l70io,olly@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxs005dgy04ckabkakt,cmk5howey0001l404is4k7qvr,02:28.71,02:29.23,Boxer A,Hook,Left,Head,Full Body;Forward/Profile;Origin,FALSE,1,CAM 3,Orthodox,FALSE,Missed,,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxt0067gy04n42xhrqc,cmk5howey0001l404is4k7qvr,02:34.56,02:34.98,Boxer B,Cross,Right,Body,Full Body;Origin,FALSE,1,CAM 3,Orthodox,FALSE,Defended,Guard,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxs005cgy049k4x0wxw,cmk5howey0001l404is4k7qvr,02:36.48,02:36.96,Boxer A,Jab,Left,Body,Full Body;Forward/Profile;Origin;Trajectory,FALSE,1,CAM 3,Orthodox,FALSE,Unseen,,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxt0066gy04nylv2s4q,cmk5howey0001l404is4k7qvr,02:36.58,02:37.16,Boxer B,Hook,Left,Head,Full Body,FALSE,1,CAM 1,Orthodox,TRUE,Landed,,cmja0k21v0000gs04a73l70io,olly@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxs005bgy04tfvlhhvz,cmk5howey0001l404is4k7qvr,02:38.50,02:38.84,Boxer A,Jab,Left,Head,Full Body;Forward/Profile;Origin;Trajectory;Impact,FALSE,2,CAM 3,Orthodox,TRUE,Landed,,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxt0065gy04stpb8a08,cmk5howey0001l404is4k7qvr,02:38.51,02:38.89,Boxer B,Jab,Left,Head,Full Body;Forward/Profile;Origin,FALSE,1,CAM 3,Orthodox,FALSE,Missed,,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxs005agy04jyznqr5l,cmk5howey0001l404is4k7qvr,02:41.28,02:41.52,Boxer A,Jab,Left,Head,Full Body;Forward/Profile;Origin;Trajectory,FALSE,2,CAM 1,Orthodox,FALSE,Missed,,cmja0k21v0000gs04a73l70io,olly@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxt0064gy04slbjw76q,cmk5howey0001l404is4k7qvr,02:42.93,02:43.33,Boxer B,Jab,Left,Head,Full Body;Forward/Profile;Trajectory;Origin,FALSE,1,CAM 1,Orthodox,FALSE,Defended,Parry,cmjcptqpl0000jl04r3orymsg,dan@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxs0063gy04boeffrbs,cmk5howey0001l404is4k7qvr,02:44.33,02:44.59,Boxer B,Hook,Left,Head,Forward/Profile;Full Body,FALSE,1,CAM 1,Orthodox,FALSE,Unseen,,cmja0k21v0000gs04a73l70io,olly@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
cmkgszgxr0059gy049wtwk18w,cmk5howey0001l404is4k7qvr,02:49.81,02:50.31,Boxer A,Jab,Left,Body,Full Body;Trajectory,FALSE,1,CAM 3,Orthodox,FALSE,Missed,,cmja0k21v0000gs04a73l70io,olly@boxraw.com,David Benavidez v Anthony Yarde - R1,2026-01-16T11:36:39.807Z,2026-01-16T11:36:39.807Z,David Benavidez v Anthony Yarde - R1,REVIEWED,OFFENSE,olly@boxraw.com
